time=15810, port=1, receive=0

time=15820, port=1, receive=0

time=15830, port=1, receive=0

time=15840, port=1, receive=0

time=15850, port=1, receive=1

time=15860, port=1, receive=0

time=15870, port=1, receive=0

time=15880, port=1, receive=0

time=15890, port=1, receive=1

time=15900, port=1, receive=0

time=15910, port=1, receive=0

time=15920, port=1, receive=0

time=15930, port=1, receive=0

time=15940, port=1, receive=1

time=15950, port=1, receive=0

time=15960, port=1, receive=0

time=15970, port=1, receive=0

time=15980, port=1, receive=0

time=15990, port=1, receive=0

time=16000, port=1, receive=0

time=16010, port=1, receive=0

time=16020, port=1, receive=0

time=16030, port=1, receive=0

time=16040, port=1, receive=1

time=16050, port=1, receive=0

time=16060, port=1, receive=0

time=16070, port=1, receive=0

time=16080, port=1, receive=0

time=16090, port=1, receive=0

time=16100, port=1, receive=1

time=16110, port=1, receive=0

time=16120, port=1, receive=1

time=16130, port=1, receive=0

time=16140, port=1, receive=0

time=16150, port=1, receive=0

time=16160, port=1, receive=0

time=16170, port=1, receive=1

time=16180, port=1, receive=1

time=16190, port=1, receive=0

time=16200, port=1, receive=1

time=16210, port=1, receive=1

time=16220, port=1, receive=0

time=16230, port=1, receive=0

time=16240, port=1, receive=0

time=16250, port=1, receive=1

time=16260, port=1, receive=1

time=16270, port=1, receive=0

time=16280, port=1, receive=0

time=16290, port=1, receive=1

time=16300, port=1, receive=0

time=16310, port=1, receive=0

time=16320, port=1, receive=0

time=16330, port=1, receive=1

time=16340, port=1, receive=1

time=16350, port=1, receive=0

time=16360, port=1, receive=1

time=16370, port=1, receive=1

time=16380, port=1, receive=0

time=16390, port=1, receive=0

time=16400, port=1, receive=0

time=16410, port=1, receive=0

time=16420, port=1, receive=1

time=16430, port=1, receive=0

time=16440, port=1, receive=1

time=16450, port=1, receive=0

time=16460, port=1, receive=0

time=16470, port=1, receive=0

time=16480, port=1, receive=0

time=16490, port=1, receive=0

time=16500, port=1, receive=0

time=16510, port=1, receive=1

time=16520, port=1, receive=1

time=16530, port=1, receive=0

time=16540, port=1, receive=0

time=16550, port=1, receive=1

time=16560, port=1, receive=1

time=16570, port=1, receive=1

time=16580, port=1, receive=1

time=16590, port=1, receive=0

time=16600, port=1, receive=1

time=16610, port=1, receive=0

time=16620, port=1, receive=0

time=16630, port=1, receive=0

time=16640, port=1, receive=0

time=16650, port=1, receive=0

time=16660, port=1, receive=0

time=16670, port=1, receive=0

time=16680, port=1, receive=0

time=16690, port=1, receive=1

time=16700, port=1, receive=0

time=16710, port=1, receive=1

time=16720, port=1, receive=1

time=16730, port=1, receive=1

time=16740, port=1, receive=1

time=16750, port=1, receive=0

time=16760, port=1, receive=1

time=16770, port=1, receive=0

time=16780, port=1, receive=0

time=16790, port=1, receive=1

time=16800, port=1, receive=0

time=16810, port=1, receive=1

time=16820, port=1, receive=0

time=16830, port=1, receive=0

time=16840, port=1, receive=1

time=16850, port=1, receive=1

time=16850, port=1, send=0, transmission=successfully

time=16860, port=1, send=0, transmission=successfully

time=16860, port=1, receive=null, cause=data_ended

time=16870, port=1, send=0, transmission=successfully

time=16880, port=1, send=0, transmission=successfully

time=16890, port=1, send=0, transmission=successfully

time=16900, port=1, send=0, transmission=successfully

time=16910, port=1, send=0, transmission=successfully

time=16920, port=1, send=0, transmission=successfully

time=16930, port=1, send=0, transmission=successfully

time=16940, port=1, send=0, transmission=successfully

time=16950, port=1, send=0, transmission=successfully

time=16960, port=1, send=1, transmission=successfully

time=16970, port=1, send=0, transmission=successfully

time=16980, port=1, send=0, transmission=successfully

time=16990, port=1, send=0, transmission=successfully

time=17000, port=1, send=1, transmission=successfully

time=17010, port=1, send=1, transmission=successfully

time=17020, port=1, send=0, transmission=successfully

time=17030, port=1, send=1, transmission=successfully

time=17040, port=1, send=0, transmission=successfully

time=17050, port=1, send=1, transmission=successfully

time=17060, port=1, send=0, transmission=successfully

time=17070, port=1, send=1, transmission=successfully

time=17080, port=1, send=0, transmission=successfully

time=17090, port=1, send=0, transmission=successfully

time=17100, port=1, send=0, transmission=successfully

time=17110, port=1, send=0, transmission=successfully

time=17120, port=1, send=0, transmission=successfully

time=17130, port=1, send=0, transmission=successfully

time=17140, port=1, send=1, transmission=successfully

time=17150, port=1, send=0, transmission=successfully

time=17160, port=1, send=0, transmission=successfully

time=17170, port=1, send=0, transmission=successfully

time=17180, port=1, send=0, transmission=successfully

time=17190, port=1, send=0, transmission=successfully

time=17200, port=1, send=0, transmission=successfully

time=17210, port=1, send=1, transmission=successfully

time=17220, port=1, send=1, transmission=successfully

time=17230, port=1, send=0, transmission=successfully

