time=5710, port=2, receive=1

time=5720, port=2, receive=0

time=5730, port=2, receive=0

time=5740, port=2, receive=0

time=5750, port=2, receive=0

time=5760, port=2, receive=0

time=5770, port=2, receive=0

time=5780, port=2, receive=1

time=5790, port=2, receive=1

time=5800, port=2, receive=0

time=5810, port=2, receive=0

time=5820, port=2, receive=1

time=5830, port=2, receive=1

time=5840, port=2, receive=1

time=5850, port=2, receive=1

time=5860, port=2, receive=1

time=5870, port=2, receive=0

time=5880, port=2, receive=0

time=5890, port=2, receive=0

time=5900, port=2, receive=0

time=5910, port=2, receive=1

time=5920, port=2, receive=1

time=5930, port=2, receive=0

time=5940, port=2, receive=0

time=5950, port=2, receive=1

time=5960, port=2, receive=0

time=5970, port=2, receive=0

time=5980, port=2, receive=1

time=5990, port=2, receive=1

time=6000, port=2, receive=1

time=6010, port=2, receive=1

time=6020, port=2, receive=1

time=6030, port=2, receive=0

time=6040, port=2, receive=0

time=6050, port=2, receive=1

time=6060, port=2, receive=0

time=6070, port=2, receive=0

time=6080, port=2, receive=1

time=6090, port=2, receive=0

time=6100, port=2, receive=1

time=6110, port=2, receive=0

time=6120, port=2, receive=0

time=6130, port=2, receive=null, cause=data_ended

time=9550, port=2, receive=1

time=9560, port=2, receive=1

time=9570, port=2, receive=1

time=9580, port=2, receive=1

time=9590, port=2, receive=1

time=9600, port=2, receive=1

time=9610, port=2, receive=1

time=9620, port=2, receive=1

time=9630, port=2, receive=1

time=9640, port=2, receive=1

time=9650, port=2, receive=1

time=9660, port=2, receive=1

time=9670, port=2, receive=1

time=9680, port=2, receive=1

time=9690, port=2, receive=1

time=9700, port=2, receive=1

time=9710, port=2, receive=1

time=9720, port=2, receive=0

time=9730, port=2, receive=1

time=9740, port=2, receive=1

time=9750, port=2, receive=1

time=9760, port=2, receive=0

time=9770, port=2, receive=1

time=9780, port=2, receive=1

time=9790, port=2, receive=0

time=9800, port=2, receive=0

time=9810, port=2, receive=0

