time=34160, port=2, send=0, transmission=successfully

time=34170, port=2, send=0, transmission=successfully

time=34180, port=2, send=1, transmission=successfully

time=34190, port=2, send=1, transmission=successfully

time=34200, port=2, send=0, transmission=successfully

time=34210, port=2, send=1, transmission=successfully

time=34220, port=2, send=1, transmission=successfully

time=34230, port=2, send=0, transmission=successfully

time=34240, port=2, send=0, transmission=successfully

time=34250, port=2, send=0, transmission=successfully

time=34260, port=2, send=1, transmission=successfully

time=34270, port=2, send=1, transmission=successfully

time=34280, port=2, send=0, transmission=successfully

time=34290, port=2, send=0, transmission=successfully

time=34300, port=2, send=1, transmission=successfully

time=34310, port=2, send=0, transmission=successfully

time=34320, port=2, send=0, transmission=successfully

time=34330, port=2, send=0, transmission=successfully

time=34340, port=2, send=1, transmission=successfully

time=34350, port=2, send=1, transmission=successfully

time=34360, port=2, send=0, transmission=successfully

time=34370, port=2, send=1, transmission=successfully

time=34380, port=2, send=1, transmission=successfully

time=34390, port=2, send=0, transmission=successfully

time=34400, port=2, send=0, transmission=successfully

time=34410, port=2, send=0, transmission=successfully

time=34420, port=2, send=0, transmission=successfully

time=34430, port=2, send=1, transmission=successfully

time=34440, port=2, send=0, transmission=successfully

time=34450, port=2, send=1, transmission=successfully

time=34460, port=2, send=0, transmission=successfully

time=34470, port=2, send=0, transmission=successfully

time=34480, port=2, send=0, transmission=successfully

time=34490, port=2, send=0, transmission=successfully

time=34500, port=2, send=0, transmission=successfully

time=34510, port=2, send=0, transmission=successfully

time=34520, port=2, send=1, transmission=successfully

time=34530, port=2, send=1, transmission=successfully

time=34540, port=2, send=0, transmission=successfully

time=34550, port=2, send=0, transmission=successfully

time=34560, port=2, send=1, transmission=successfully

time=34570, port=2, send=1, transmission=successfully

time=34580, port=2, send=0, transmission=successfully

time=34590, port=2, send=0, transmission=successfully

time=34600, port=2, send=1, transmission=successfully

time=34610, port=2, send=0, transmission=successfully

time=34620, port=2, send=0, transmission=successfully

time=34630, port=2, send=1, transmission=successfully

time=34640, port=2, send=0, transmission=successfully

time=34650, port=2, send=0, transmission=successfully

time=34660, port=2, send=0, transmission=successfully

time=34670, port=2, send=1, transmission=successfully

time=34680, port=2, send=1, transmission=successfully

time=34690, port=2, send=0, transmission=successfully

time=34700, port=2, send=0, transmission=successfully

time=34710, port=2, send=0, transmission=successfully

time=34720, port=2, send=0, transmission=successfully

time=34730, port=2, send=0, transmission=successfully

